,sample_hash,bad_imports,connections_num,crypto_usage,modification_rate,ip_reputation,max_entropy,bytes_download,bytes_upload,started_processes
0,2bad63edfca3e163691110868bfafe4c2fea3ee72f5dc520bee5d4401cec3cec,2,2,5,4.745762711864407,0,7.796122104073841,8174,1702,6
1,a29f63484f53d2cf832b2bc70d6b66378b87b86221f885d0f43166503d631ef3,0,22,5,4.711864406779661,12,7.887841313109253,70437,3545,6
2,a91948ce235c8a43e0d5f3915dd6dd7482ecd50aaaa423849ae4857d8504bc60,3,26,0,2.3333333333333335,5,6.7815173526311785,291147,13378,17
3,ecac12520eaa08addb97ed05c2ac1406d56e58eb422954b704ef5c5516e02397,7,28,7,2.6893203883495147,9,7.492299759278211,129794,7276,10
4,b78469fb8eff53d82081bdcb0dbb3436f239b8ca6ef7fd800ce5ba7e098c256f,2,3,5,5.2075471698113205,0,7.5445769114957315,5341,303,6
5,74bc2f9a81ad2cc609b7730dbabb146506f58244e5e655cbb42044913384a6ac,4,0,2,0.9166666666666666,0,6.388910117640231,0,0,8
6,5d21cfbfcafb87a9651644544e9444bd543898dbe367aa11d7e77bf0b13d56f3,0,0,5,77.47457627118644,0,7.887908886898695,0,0,5
7,8161225680dbb5c52e0192230c0d1b9b87120d92b289e14f93479e38024be17d,3,27,1,4.576271186440678,100,5.816281759443801,403920,9124,7
8,2fa8aa9c02c122e490aeee9dc0acce1fe7f3a74207cfd2e384ebfcaa56ed1cbc,3,27,1,4.711864406779661,100,5.816281759443801,403940,7503,7
9,578d694adb18d1dda0ee217c2c08e2e99f5d1bb9bafe6f3962844bbe6e6ebf12,3,0,1,0.0,0,5.816281759443801,0,0,7
10,dec3e1d3638f0f989da6d46cdcc8343af3ace9175741c08672205ae8e76a8519,3,105,1,1.0218978102189782,100,5.816281759443801,639934,35708,7
11,a91948ce235c8a43e0d5f3915dd6dd7482ecd50aaaa423849ae4857d8504bc60,3,0,0,0.0,0,6.7815173526311785,0,0,7
12,246aea5a28ed117238ed0da8e6c96a9a9f1c627613d0f9f57da3e819f57231eb,3,31,0,4.116279069767442,97,6.906368448482482,779420,22470,22
13,5d21cfbfcafb87a9651644544e9444bd543898dbe367aa11d7e77bf0b13d56f3,0,0,5,68.90243902439025,0,7.887908886898695,0,0,5
14,4acf5bcdfb4cd595c3346ee664031e41e3432777f216c7748ce06499055e43ec,3,2,0,4.508474576271187,0,6.747792838460028,7,131,7
15,12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,0,0,5,4.47457627118644,0,7.693362142346436,0,0,7
16,87219b4b2c64a53589d1b1ea5faa037c7666bf2e4b2995fea9436263ce1f910d,2,42,0,4.661016949152542,1,7.997060903746576,109063,8778,8
17,5f56d5748940e4039053f85978074bde16d64bd5ba97f6f0026ba8172cb29e93,1,0,5,0.0,0,7.688811274301435,0,0,7
18,139a7d6656feebe539b2cb94b0729602f6218f54fb5b7531b58cfe040f180548,1,460,5,2.4962406015037595,100,7.492299759278211,8804,44624,27
19,ffae85401d87052ef22aaabf8e941c5f9096056e0b586f0b463cc6b0254463ea,2,45,5,1.7604790419161678,34,7.982721454355351,113035,11796,8
